Latitude (decimal degrees):	35.697
Longitude (decimal degrees):	104.011
Elevation (m):	3235
Radiation database:	PVGIS-ERA5


Slope: 35 deg. 
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20230805:1730,0.0,0.0,0.0,18.08,1.17,0.0
20230805:1830,0.0,0.0,0.0,17.47,0.76,0.0
20230805:1930,0.0,0.0,0.0,15.49,0.41,0.0
20230805:2030,0.0,0.0,0.0,15.15,0.69,0.0
20230805:2130,0.0,0.0,0.0,15.34,1.31,0.0
20230805:2230,0.22,6.3,2.08,15.29,1.59,0.0
20230805:2330,23.23,42.24,13.82,15.51,1.66,0.0
20230806:0030,86.02,123.58,25.78,16.06,1.86,0.0
20230806:0130,169.43,217.93,37.94,16.91,2.34,0.0
20230806:0230,200.2,252.7,49.85,17.62,2.97,0.0
20230806:0330,278.17,344.2,60.84,18.02,3.45,0.0
20230806:0430,312.51,387.04,69.09,18.68,3.52,0.0
20230806:0530,370.12,460.48,70.53,19.37,3.31,0.0
20230806:0630,261.31,331.56,63.98,20.35,3.72,0.0
20230806:0730,337.62,419.48,53.59,19.09,4.97,0.0
20230806:0830,178.78,230.96,41.87,19.64,4.83,0.0
20230806:0930,94.62,131.5,29.74,19.21,4.14,0.0
20230806:1030,69.69,106.89,17.61,18.7,3.72,0.0
20230806:1130,11.23,25.8,5.72,17.99,3.31,0.0
20230806:1230,0.0,0.0,0.0,16.95,3.03,0.0
20230806:1330,0.0,0.0,0.0,16.06,2.69,0.0
20230806:1430,0.0,0.0,0.0,15.59,2.28,0.0
20230806:1530,0.0,0.0,0.0,15.27,2.14,0.0
20230806:1630,0.0,0.0,0.0,15.04,2.0,0.0
20230806:1730,0.0,0.0,0.0,14.81,1.86,0.0
20230806:1830,0.0,0.0,0.0,14.58,1.72,0.0
20230806:1930,0.0,0.0,0.0,13.23,1.1,0.0
20230806:2030,0.0,0.0,0.0,13.19,1.1,0.0
20230806:2130,0.0,0.0,0.0,13.15,1.1,0.0
20230806:2230,0.0,4.81,1.94,13.13,0.9,0.0
20230806:2330,20.98,38.91,13.69,13.2,0.62,0.0
20230807:0030,69.64,101.24,25.65,13.99,0.62,0.0
20230807:0130,116.56,155.17,37.81,14.89,0.9,0.0
20230807:0230,193.12,245.28,49.71,15.94,1.31,0.0
20230807:0330,299.68,373.02,60.66,17.06,1.86,0.0
20230807:0430,454.27,566.46,68.85,18.43,2.34,0.0
20230807:0530,554.7,696.21,70.25,20.08,2.76,0.0
20230807:0630,690.33,882.93,63.75,21.54,3.31,0.0
20230807:0730,531.24,671.37,53.39,23.38,3.52,0.0
20230807:0830,426.28,541.42,41.7,23.46,3.17,0.0
20230807:0930,215.36,286.71,29.58,23.63,3.38,0.0
20230807:1030,80.48,140.31,17.43,22.92,4.41,0.0
20230807:1130,8.04,21.21,5.54,21.82,4.62,0.0
20230807:1230,0.0,0.0,0.0,20.28,3.72,0.0
20230807:1330,0.0,0.0,0.0,19.0,3.38,0.0
20230807:1430,0.0,0.0,0.0,17.99,3.38,0.0
20230807:1530,0.0,0.0,0.0,17.14,3.45,0.0
20230807:1630,0.0,0.0,0.0,16.3,3.1,0.0
20230807:1730,0.0,0.0,0.0,15.51,2.76,0.0
20230807:1830,0.0,0.0,0.0,14.96,2.41,0.0
20230807:1930,0.0,0.0,0.0,14.22,2.48,0.0
20230807:2030,0.0,0.0,0.0,13.84,2.69,0.0
20230807:2130,0.0,0.0,0.0,13.7,2.83,0.0
20230807:2230,1.84,9.97,1.8,13.74,2.76,0.0
20230807:2330,38.42,61.39,13.56,14.08,3.1,0.0
20230808:0030,186.31,245.12,25.53,15.3,4.07,0.0
20230808:0130,399.71,494.31,37.69,17.88,3.79,0.0
20230808:0230,568.11,709.59,49.57,20.39,3.72,0.0
20230808:0330,650.4,827.8,60.48,22.64,3.93,0.0
20230808:0430,730.54,943.61,68.6,24.39,4.34,0.0
20230808:0530,713.46,921.1,69.97,25.71,4.76,0.0
20230808:0630,467.23,592.02,63.52,26.29,4.83,0.0
20230808:0730,416.55,525.28,53.2,25.76,4.83,0.0
20230808:0830,388.83,492.69,41.52,25.96,5.45,0.0
20230808:0930,215.68,289.0,29.4,26.14,5.72,0.0
20230808:1030,75.01,126.75,17.25,25.43,6.07,0.0
20230808:1130,5.39,16.96,5.35,24.04,5.72,0.0
20230808:1230,0.0,0.0,0.0,22.09,5.59,0.0
20230808:1330,0.0,0.0,0.0,20.25,5.59,0.0
20230808:1430,0.0,0.0,0.0,18.73,5.24,0.0
20230808:1530,0.0,0.0,0.0,17.81,4.55,0.0
20230808:1630,0.0,0.0,0.0,17.15,3.86,0.0
20230808:1730,0.0,0.0,0.0,16.81,3.66,0.0
20230808:1830,0.0,0.0,0.0,16.66,3.31,0.0
20230808:1930,0.0,0.0,0.0,16.54,2.97,0.0
20230808:2030,0.0,0.0,0.0,16.43,2.76,0.0
20230808:2130,0.0,0.0,0.0,16.24,2.34,0.0
20230808:2230,1.13,8.53,1.65,16.1,2.0,0.0
20230808:2330,34.45,56.93,13.43,16.19,2.0,0.0
20230809:0030,176.65,236.23,25.4,17.22,2.55,0.0
20230809:0130,304.72,383.61,37.56,19.23,2.21,0.0
20230809:0230,461.11,582.89,49.42,21.27,2.0,0.0
20230809:0330,549.86,707.47,60.3,23.27,2.0,0.0
20230809:0430,551.93,719.42,68.35,25.13,2.0,0.0
20230809:0530,609.58,802.11,69.69,26.23,2.48,0.0
20230809:0630,425.98,546.87,63.27,27.13,3.24,0.0
20230809:0730,514.5,655.95,52.99,24.07,3.03,0.0
20230809:0830,344.85,438.54,41.33,24.21,3.59,0.0
20230809:0930,171.24,230.56,29.22,23.16,3.31,0.0
20230809:1030,55.63,94.0,17.07,22.3,3.72,0.0
20230809:1130,4.93,16.0,5.16,21.09,3.38,0.0
20230809:1230,0.0,0.0,0.0,20.37,2.14,0.0
20230809:1330,0.0,0.0,0.0,19.82,1.93,0.0
20230809:1430,0.0,0.0,0.0,18.99,2.21,0.0
20230809:1530,0.0,0.0,0.0,18.36,1.93,0.0
20230809:1630,0.0,0.0,0.0,17.73,2.55,0.0
20230809:1730,0.0,0.0,0.0,17.14,2.34,0.0
20230809:1830,0.0,0.0,0.0,16.97,2.0,0.0
20230809:1930,0.0,0.0,0.0,16.92,1.52,0.0
20230809:2030,0.0,0.0,0.0,16.57,1.93,0.0
20230809:2130,0.0,0.0,0.0,16.55,1.93,0.0
20230809:2230,0.16,6.16,1.51,16.51,1.66,0.0
20230809:2330,23.9,43.33,13.3,16.67,1.17,0.0
20230810:0030,135.35,186.6,25.28,17.26,0.97,0.0
20230810:0130,290.44,370.85,37.43,18.63,0.14,0.0
20230810:0230,443.31,563.62,49.28,20.61,1.17,0.0
20230810:0330,494.24,625.76,60.11,22.08,2.28,0.0
20230810:0430,586.88,750.29,68.09,23.07,2.9,0.0
20230810:0530,612.2,789.9,69.4,23.97,2.97,0.0
20230810:0630,421.94,537.73,63.02,24.64,2.97,0.0
20230810:0730,284.78,364.88,52.78,23.81,2.28,0.0
20230810:0830,248.3,318.79,41.14,23.44,2.9,0.0
20230810:0930,94.34,133.82,29.04,22.46,2.83,0.0
20230810:1030,23.43,44.26,16.88,21.84,2.07,0.0
20230810:1130,5.35,16.75,4.96,21.46,1.79,0.0
20230810:1230,0.0,0.0,0.0,20.2,1.24,0.0
20230810:1330,0.0,0.0,0.0,18.63,0.48,0.0
20230810:1430,0.0,0.0,0.0,17.6,0.69,0.0
20230810:1530,0.0,0.0,0.0,17.56,1.31,0.0
20230810:1630,0.0,0.0,0.0,17.32,1.24,0.0
20230810:1730,0.0,0.0,0.0,17.15,0.97,0.0
20230810:1830,0.0,0.0,0.0,16.95,0.9,0.0
20230810:1930,0.0,0.0,0.0,16.44,2.14,0.0
20230810:2030,0.0,0.0,0.0,16.0,2.48,0.0
20230810:2130,0.0,0.0,0.0,15.52,2.62,0.0
20230810:2230,0.0,3.94,1.36,15.08,2.41,0.0
20230810:2330,10.57,24.53,13.17,14.73,2.07,0.0
20230811:0030,25.12,44.58,25.15,14.55,2.21,0.0
20230811:0130,28.35,48.81,37.3,14.87,2.14,0.0
20230811:0230,47.07,72.23,49.13,14.51,2.21,0.0
20230811:0330,63.26,91.75,59.93,14.53,2.41,0.0
20230811:0430,91.2,124.99,67.83,14.55,2.55,0.0
20230811:0530,66.53,95.74,69.1,14.75,3.24,0.0
20230811:0630,64.74,93.68,62.77,14.93,3.45,0.0
20230811:0730,86.73,119.65,52.57,14.75,3.79,0.0
20230811:0830,110.85,148.22,40.95,15.36,3.79,0.0
20230811:0930,98.01,134.6,28.85,16.18,3.66,0.0
20230811:1030,20.71,41.51,16.69,16.73,3.24,0.0
20230811:1130,1.14,8.57,4.76,16.68,2.48,0.0
20230811:1230,0.0,0.0,0.0,16.27,1.93,0.0
20230811:1330,0.0,0.0,0.0,15.23,1.52,0.0
20230811:1430,0.0,0.0,0.0,14.06,1.45,0.0
20230811:1530,0.0,0.0,0.0,12.77,1.38,0.0
20230811:1630,0.0,0.0,0.0,12.06,1.31,0.0
20230811:1730,0.0,0.0,0.0,11.57,1.17,0.0
20230811:1830,0.0,0.0,0.0,10.9,1.31,0.0
20230811:1930,0.0,0.0,0.0,10.25,1.52,0.0
20230811:2030,0.0,0.0,0.0,10.26,1.38,0.0
20230811:2130,0.0,0.0,0.0,10.5,1.17,0.0
20230811:2230,1.72,9.62,1.22,10.52,1.17,0.0
20230811:2330,29.19,49.28,13.04,11.4,0.9,0.0
20230812:0030,238.98,317.69,25.02,13.12,0.55,0.0
20230812:0130,444.67,559.46,37.17,16.57,1.03,0.0
20230812:0230,601.75,771.28,48.98,18.65,1.17,0.0
20230812:0330,698.75,929.07,59.73,20.17,0.76,0.0
20230812:0430,739.93,1017.26,67.57,21.32,0.28,0.0
20230812:0530,742.98,1027.95,68.8,22.17,0.28,0.0
20230812:0630,655.46,879.09,62.51,22.88,0.62,0.0
20230812:0730,561.95,737.7,52.35,23.39,0.97,0.0
20230812:0830,461.87,599.76,40.74,23.7,1.17,0.0
20230812:0930,284.51,380.47,28.65,23.73,1.52,0.0
20230812:1030,83.36,149.14,16.5,23.38,1.93,0.0
20230812:1130,6.38,18.54,4.55,22.27,1.93,0.0
20230812:1230,0.0,0.0,0.0,20.21,2.0,0.0
20230812:1330,0.0,0.0,0.0,17.9,1.93,0.0
20230812:1430,0.0,0.0,0.0,16.25,1.52,0.0
20230812:1530,0.0,0.0,0.0,16.11,1.38,0.0
20230812:1630,0.0,0.0,0.0,15.33,1.45,0.0
20230812:1730,0.0,0.0,0.0,14.49,1.45,0.0
20230812:1830,0.0,0.0,0.0,13.98,1.38,0.0
20230812:1930,0.0,0.0,0.0,14.99,0.48,0.0
20230812:2030,0.0,0.0,0.0,14.84,0.76,0.0
20230812:2130,0.0,0.0,0.0,14.54,1.1,0.0
20230812:2230,1.62,9.49,1.07,12.94,1.45,0.0
20230812:2330,28.96,49.06,12.9,11.93,1.59,0.0
20230813:0030,242.66,322.06,24.9,14.36,1.59,0.0
20230813:0130,452.13,565.1,37.04,18.33,2.62,0.0
20230813:0230,619.97,779.78,48.83,20.47,3.52,0.0
20230813:0330,730.96,938.19,59.54,22.14,3.72,0.0
20230813:0430,786.48,1026.26,67.31,23.46,3.72,0.0
20230813:0530,790.31,1036.39,68.5,24.56,3.86,0.0
20230813:0630,736.61,959.57,62.25,25.38,4.07,0.0
20230813:0730,639.03,818.74,52.12,25.44,4.48,0.0
20230813:0830,485.45,617.66,40.54,25.53,4.62,0.0
20230813:0930,287.41,381.43,28.45,25.24,4.69,0.0
20230813:1030,81.92,146.98,16.29,24.49,4.83,0.0
20230813:1130,5.99,17.93,4.34,22.96,4.28,0.0
20230813:1230,0.0,0.0,0.0,20.61,4.0,0.0
20230813:1330,0.0,0.0,0.0,18.72,3.93,0.0
20230813:1430,0.0,0.0,0.0,17.29,3.72,0.0
20230813:1530,0.0,0.0,0.0,16.13,3.38,0.0
20230813:1630,0.0,0.0,0.0,15.18,3.17,0.0
20230813:1730,0.0,0.0,0.0,14.39,3.1,0.0
20230813:1830,0.0,0.0,0.0,13.74,3.03,0.0
20230813:1930,0.0,0.0,0.0,13.46,2.9,0.0
20230813:2030,0.0,0.0,0.0,13.09,2.76,0.0
20230813:2130,0.0,0.0,0.0,12.51,2.55,0.0
20230813:2230,1.53,9.27,0.92,11.88,2.21,0.0
20230813:2330,32.01,52.82,12.77,11.4,1.59,0.0
20230814:0030,238.1,315.27,24.77,14.21,1.72,0.0
20230814:0130,431.12,536.22,36.9,16.99,2.28,0.0
20230814:0230,547.39,690.51,48.68,19.24,2.21,0.0
20230814:0330,633.63,820.36,59.34,20.94,1.86,0.0
20230814:0430,672.5,882.32,67.04,22.54,2.14,0.0
20230814:0530,725.03,953.72,68.19,23.78,2.76,0.0
20230814:0630,714.22,931.71,61.98,24.78,3.52,0.0
20230814:0730,594.94,760.31,51.89,25.64,4.41,0.0
20230814:0830,430.05,546.5,40.33,25.59,4.69,0.0
20230814:0930,235.57,313.27,28.25,25.04,4.9,0.0
20230814:1030,69.42,123.65,16.09,24.07,5.17,0.0
20230814:1130,5.75,17.49,4.13,22.62,4.9,0.0
20230814:1230,0.0,0.0,0.0,20.64,4.83,0.0
20230814:1330,0.0,0.0,0.0,18.87,4.34,0.0
20230814:1430,0.0,0.0,0.0,17.45,3.86,0.0
20230814:1530,0.0,0.0,0.0,16.6,3.38,0.0
20230814:1630,0.0,0.0,0.0,15.97,2.9,0.0
20230814:1730,0.0,0.0,0.0,15.53,2.62,0.0
20230814:1830,0.0,0.0,0.0,15.32,2.48,0.0
20230814:1930,0.0,0.0,0.0,14.18,2.28,0.0
20230814:2030,0.0,0.0,0.0,13.78,1.93,0.0
20230814:2130,0.0,0.0,0.0,13.29,1.93,0.0
20230814:2230,1.01,8.18,0.78,12.65,1.86,0.0
20230814:2330,31.92,52.95,12.64,12.54,1.52,0.0
20230815:0030,195.98,258.45,24.64,14.28,2.28,0.0
20230815:0130,354.84,441.9,36.77,16.53,1.59,0.0
20230815:0230,472.88,598.23,48.52,18.14,0.69,0.0
20230815:0330,451.07,581.24,59.14,19.87,0.14,0.0
20230815:0430,492.26,639.37,66.76,21.2,0.28,0.0
20230815:0530,328.07,422.57,67.88,22.05,0.55,0.0
20230815:0630,452.92,585.08,61.7,22.23,0.83,0.0
20230815:0730,367.6,470.03,51.65,24.57,2.62,0.0
20230815:0830,316.67,405.44,40.11,24.64,3.17,0.0
20230815:0930,216.08,287.94,28.04,24.46,3.86,0.0
20230815:1030,71.13,124.3,15.88,23.68,4.62,0.0
20230815:1130,5.16,16.44,3.91,22.0,4.97,0.0
20230815:1230,0.0,0.0,0.0,19.92,4.76,0.0
20230815:1330,0.0,0.0,0.0,18.46,4.55,0.0
20230815:1430,0.0,0.0,0.0,17.24,4.0,0.0
20230815:1530,0.0,0.0,0.0,16.34,3.31,0.0
20230815:1630,0.0,0.0,0.0,15.63,2.97,0.0
20230815:1730,0.0,0.0,0.0,15.08,2.97,0.0
20230815:1830,0.0,0.0,0.0,14.62,3.03,0.0
20230815:1930,0.0,0.0,0.0,14.68,2.69,0.0
20230815:2030,0.0,0.0,0.0,14.3,2.55,0.0
20230815:2130,0.0,0.0,0.0,13.98,2.14,0.0
20230815:2230,0.96,8.09,0.63,13.59,1.66,0.0
20230815:2330,33.06,54.57,12.5,13.33,1.17,0.0
20230816:0030,178.2,237.71,24.51,15.44,1.24,0.0
20230816:0130,371.52,469.44,36.63,17.06,0.34,0.0
20230816:0230,448.32,564.35,48.36,19.51,1.59,0.0
20230816:0330,485.33,609.81,58.94,21.02,2.41,0.0
20230816:0430,484.04,603.29,66.48,21.37,3.45,0.0
20230816:0530,419.74,520.47,67.56,21.56,4.83,0.0
20230816:0630,452.03,557.9,61.42,21.37,5.59,0.0
20230816:0730,347.54,430.4,51.41,21.74,6.9,0.0
20230816:0830,225.34,284.77,39.89,21.19,6.69,0.0
20230816:0930,106.48,147.95,27.83,21.13,6.0,0.0
20230816:1030,23.64,44.89,15.66,20.88,5.59,0.0
20230816:1130,0.0,4.24,3.68,20.1,5.1,0.0
20230816:1230,0.0,0.0,0.0,19.3,4.9,0.0
20230816:1330,0.0,0.0,0.0,18.39,4.69,0.0
20230816:1430,0.0,0.0,0.0,17.29,4.21,0.0
20230816:1530,0.0,0.0,0.0,16.07,3.72,0.0
20230816:1630,0.0,0.0,0.0,15.03,3.1,0.0
20230816:1730,0.0,0.0,0.0,14.34,2.9,0.0
20230816:1830,0.0,0.0,0.0,13.55,2.14,0.0
20230816:1930,0.0,0.0,0.0,12.12,1.66,0.0
20230816:2030,0.0,0.0,0.0,11.79,1.45,0.0
20230816:2130,0.0,0.0,0.0,11.71,1.38,0.0
20230816:2230,0.0,1.57,0.48,11.63,1.31,0.0
20230816:2330,6.86,18.63,12.37,11.61,1.38,0.0
20230817:0030,19.37,36.53,24.38,11.71,1.38,0.0
20230817:0130,44.16,68.07,36.5,12.25,1.45,0.0
20230817:0230,68.73,97.46,48.2,12.38,1.93,0.0
20230817:0330,84.23,115.9,58.73,12.72,2.21,0.0
20230817:0430,157.49,200.79,66.2,12.92,2.34,0.0
20230817:0530,145.61,186.12,67.24,13.36,2.34,0.0
20230817:0630,121.53,158.86,61.13,13.5,2.21,0.0
20230817:0730,92.77,126.47,51.16,14.56,1.31,0.0
20230817:0830,79.17,110.78,39.67,14.59,0.76,0.0
20230817:0930,102.79,140.13,27.61,14.61,0.34,0.0
20230817:1030,60.54,95.33,15.44,14.87,0.76,0.0
20230817:1130,4.33,14.65,3.45,14.86,0.97,0.0
20230817:1230,0.0,0.0,0.0,14.21,0.97,0.0
20230817:1330,0.0,0.0,0.0,13.13,0.83,0.0
20230817:1430,0.0,0.0,0.0,12.45,0.69,0.0
20230817:1530,0.0,0.0,0.0,12.13,0.62,0.0
20230817:1630,0.0,0.0,0.0,12.09,0.41,0.0
20230817:1730,0.0,0.0,0.0,11.84,0.48,0.0
20230817:1830,0.0,0.0,0.0,11.48,0.69,0.0
20230817:1930,0.0,0.0,0.0,11.38,0.83,0.0
20230817:2030,0.0,0.0,0.0,10.78,0.9,0.0
20230817:2130,0.0,0.0,0.0,10.17,1.17,0.0
20230817:2230,0.0,2.27,0.34,10.32,1.17,0.0
20230817:2330,22.2,40.14,12.23,10.75,1.1,0.0
20230818:0030,115.79,156.27,24.25,12.88,1.1,0.0
20230818:0130,273.69,338.91,36.36,14.32,1.45,0.0
20230818:0230,498.54,620.94,48.04,16.03,1.31,0.0
20230818:0330,652.32,838.99,58.52,17.78,1.1,0.0
20230818:0430,771.6,1029.53,65.92,19.21,1.1,0.0
20230818:0530,750.84,997.86,66.92,20.64,1.38,0.0
20230818:0630,622.47,805.76,60.84,21.62,1.86,0.0
20230818:0730,568.05,725.13,50.91,21.49,2.21,0.0
20230818:0830,431.74,545.67,39.43,21.99,2.76,0.0
20230818:0930,254.22,334.45,27.39,21.98,3.24,0.0
20230818:1030,74.38,132.9,15.22,21.42,3.66,0.0
20230818:1130,3.99,14.3,3.22,20.21,3.38,0.0
20230818:1230,0.0,0.0,0.0,18.01,2.9,0.0
20230818:1330,0.0,0.0,0.0,16.13,2.69,0.0
20230818:1430,0.0,0.0,0.0,14.83,2.34,0.0
20230818:1530,0.0,0.0,0.0,13.51,1.79,0.0
20230818:1630,0.0,0.0,0.0,12.69,1.52,0.0
20230818:1730,0.0,0.0,0.0,12.44,1.45,0.0
20230818:1830,0.0,0.0,0.0,12.9,1.31,0.0
20230818:1930,0.0,0.0,0.0,14.96,0.76,0.0
20230818:2030,0.0,0.0,0.0,13.34,1.24,0.0
20230818:2130,0.0,0.0,0.0,12.85,1.59,0.0
20230818:2230,0.28,6.43,0.19,12.43,1.59,0.0
20230818:2330,27.52,47.31,12.1,12.38,1.59,0.0
20230819:0030,200.86,265.08,24.12,14.21,1.31,0.0
20230819:0130,359.15,446.9,36.22,17.21,2.07,0.0
20230819:0230,591.01,741.73,47.88,18.77,2.69,0.0
20230819:0330,664.2,851.68,58.31,20.3,2.34,0.0
20230819:0430,567.46,731.32,65.63,21.33,1.52,0.0
20230819:0530,310.6,396.77,66.59,22.01,1.24,0.0
20230819:0630,230.01,294.7,60.55,21.15,1.86,0.0
20230819:0730,135.14,181.43,50.65,21.01,2.55,0.0
20230819:0830,107.93,146.9,39.2,18.75,2.9,0.0
20230819:0930,44.68,70.11,27.16,17.17,2.83,0.0
20230819:1030,59.72,98.24,14.99,16.15,1.93,0.0
20230819:1130,3.8,13.77,2.99,16.32,1.38,0.0
20230819:1230,0.0,0.0,0.0,15.43,0.28,0.0
20230819:1330,0.0,0.0,0.0,14.35,0.55,0.0
20230819:1430,0.0,0.0,0.0,13.69,0.69,0.0
20230819:1530,0.0,0.0,0.0,13.31,0.62,0.0
20230819:1630,0.0,0.0,0.0,12.79,0.55,0.0
20230819:1730,0.0,0.0,0.0,12.43,0.48,0.0
20230819:1830,0.0,0.0,0.0,12.11,0.41,0.0
20230819:1930,0.0,0.0,0.0,10.77,0.76,0.0
20230819:2030,0.0,0.0,0.0,10.14,0.97,0.0
20230819:2130,0.0,0.0,0.0,10.12,0.83,0.0
20230819:2230,0.57,7.08,0.04,9.66,0.9,0.0
20230819:2330,28.48,48.1,11.96,9.82,0.76,0.0
20230820:0030,234.72,308.64,23.98,12.38,0.69,0.0
20230820:0130,443.24,550.26,36.08,15.05,1.38,0.0
20230820:0230,613.46,766.33,47.72,17.43,2.55,0.0
20230820:0330,731.15,927.05,58.1,19.53,3.59,0.0
20230820:0430,789.01,1012.65,65.34,21.23,4.07,0.0
20230820:0530,796.46,1026.51,66.26,22.65,4.48,0.0
20230820:0630,717.89,919.0,60.25,23.59,4.62,0.0
20230820:0730,641.56,812.86,50.39,23.89,4.9,0.0
20230820:0830,483.77,611.27,38.96,24.23,4.62,0.0
20230820:0930,272.51,360.98,26.93,24.23,4.21,0.0
20230820:1030,70.97,125.72,14.76,23.91,3.93,0.0
20230820:1130,3.85,14.17,2.75,22.96,2.83,0.0
20230820:1230,0.0,0.0,0.0,21.08,1.79,0.0
20230820:1330,0.0,0.0,0.0,18.7,1.86,0.0
20230820:1430,0.0,0.0,0.0,16.96,2.07,0.0
20230820:1530,0.0,0.0,0.0,16.01,1.93,0.0
20230820:1630,0.0,0.0,0.0,15.08,1.79,0.0
20230820:1730,0.0,0.0,0.0,14.17,1.66,0.0
20230820:1830,0.0,0.0,0.0,13.55,1.59,0.0
20230820:1930,0.0,0.0,0.0,13.22,1.24,0.0
20230820:2030,0.0,0.0,0.0,12.73,1.38,0.0
20230820:2130,0.0,0.0,0.0,12.78,1.17,0.0
20230820:2230,0.0,0.0,-0.11,12.38,1.17,0.0
20230820:2330,27.87,47.7,11.83,12.04,1.1,0.0
20230821:0030,242.13,320.0,23.85,13.41,0.48,0.0
20230821:0130,445.07,560.94,35.94,17.74,1.24,0.0
20230821:0230,601.86,763.07,47.55,19.32,2.07,0.0
20230821:0330,701.96,905.2,57.88,20.51,2.41,0.0
20230821:0430,698.22,905.97,65.05,21.56,2.34,0.0
20230821:0530,747.51,983.24,65.92,22.17,2.28,0.0
20230821:0630,655.37,854.25,59.94,22.88,2.14,0.0
20230821:0730,577.0,754.97,50.12,23.0,1.1,0.0
20230821:0830,436.13,568.73,38.71,22.8,0.34,0.0
20230821:0930,242.01,325.18,26.69,22.88,0.41,0.0
20230821:1030,72.28,126.24,14.53,22.69,0.62,0.0
20230821:1130,3.73,13.9,2.5,21.97,0.41,0.0
20230821:1230,0.0,0.0,0.0,20.57,0.55,0.0
20230821:1330,0.0,0.0,0.0,19.29,0.62,0.0
20230821:1430,0.0,0.0,0.0,18.5,0.28,0.0
20230821:1530,0.0,0.0,0.0,17.88,0.07,0.0
20230821:1630,0.0,0.0,0.0,17.13,0.28,0.0
20230821:1730,0.0,0.0,0.0,16.35,0.41,0.0
20230821:1830,0.0,0.0,0.0,15.2,0.97,0.0
20230821:1930,0.0,0.0,0.0,14.0,0.34,0.0
20230821:2030,0.0,0.0,0.0,13.44,0.41,0.0
20230821:2130,0.0,0.0,0.0,12.91,0.83,0.0
20230821:2230,0.0,0.0,-0.26,11.33,1.24,0.0
20230821:2330,26.89,46.39,11.69,11.68,0.97,0.0
20230822:0030,237.57,313.09,23.72,13.7,0.97,0.0
20230822:0130,448.02,560.08,35.8,17.3,1.79,0.0
20230822:0230,610.76,774.11,47.38,19.22,2.14,0.0
20230822:0330,717.05,939.72,57.66,20.83,1.72,0.0
20230822:0430,761.99,1022.86,64.75,22.1,1.45,0.0
20230822:0530,755.17,1020.12,65.58,23.13,1.38,0.0
20230822:0630,672.01,899.07,59.63,23.88,1.17,0.0
20230822:0730,542.21,709.78,49.85,23.5,0.9,0.0
20230822:0830,383.59,496.09,38.47,23.55,0.83,0.0
20230822:0930,206.15,277.53,26.46,23.28,0.83,0.0
20230822:1030,51.22,88.44,14.29,22.46,0.62,0.0
20230822:1130,2.35,11.15,2.26,18.96,1.03,0.0
20230822:1230,0.0,0.0,0.0,16.84,2.41,0.0
20230822:1330,0.0,0.0,0.0,15.46,2.69,0.0
20230822:1430,0.0,0.0,0.0,14.44,1.45,0.0
20230822:1530,0.0,0.0,0.0,13.69,0.83,0.0
20230822:1630,0.0,0.0,0.0,13.26,0.69,0.0
20230822:1730,0.0,0.0,0.0,12.65,0.9,0.0
20230822:1830,0.0,0.0,0.0,12.16,1.66,0.0
20230822:1930,0.0,0.0,0.0,11.63,3.38,0.0
20230822:2030,0.0,0.0,0.0,10.53,3.52,0.0
20230822:2130,0.0,0.0,0.0,9.58,2.76,0.0
20230822:2230,0.0,0.0,-0.4,8.91,2.28,0.0
20230822:2330,28.29,47.57,11.56,8.53,2.07,0.0
20230823:0030,248.06,319.03,23.58,10.5,2.34,0.0
20230823:0130,466.94,565.88,35.65,13.03,3.1,0.0
20230823:0230,636.37,785.22,47.21,15.24,2.9,0.0
20230823:0330,745.08,948.01,57.43,17.02,2.48,0.0
20230823:0430,799.03,1043.38,64.45,18.34,2.07,0.0
20230823:0530,793.73,1044.09,65.24,19.31,1.93,0.0
20230823:0630,634.25,812.63,59.32,19.85,1.86,0.0
20230823:0730,594.29,760.88,49.58,20.12,1.72,0.0
20230823:0830,475.38,602.68,38.21,20.34,1.79,0.0
20230823:0930,245.76,322.96,26.21,20.32,2.07,0.0
20230823:1030,69.74,123.61,14.04,19.97,2.21,0.0
20230823:1130,2.85,12.15,2.0,19.53,2.34,0.0
20230823:1230,0.0,0.0,0.0,17.98,1.93,0.0
20230823:1330,0.0,0.0,0.0,16.36,2.07,0.0
20230823:1430,0.0,0.0,0.0,14.91,2.21,0.0
20230823:1530,0.0,0.0,0.0,14.27,2.28,0.0
20230823:1630,0.0,0.0,0.0,12.95,2.14,0.0
20230823:1730,0.0,0.0,0.0,11.83,2.0,0.0
20230823:1830,0.0,0.0,0.0,10.9,1.79,0.0
20230823:1930,0.0,0.0,0.0,10.6,1.59,0.0
20230823:2030,0.0,0.0,0.0,10.73,1.31,0.0
20230823:2130,0.0,0.0,0.0,10.01,1.52,0.0
20230823:2230,0.0,0.0,-0.55,8.91,2.0,0.0
20230823:2330,26.21,44.99,11.42,8.86,2.07,0.0
20230824:0030,247.14,320.59,23.45,12.28,2.41,0.0
20230824:0130,462.18,565.13,35.51,15.84,3.72,0.0
20230824:0230,633.02,778.96,47.04,18.19,4.76,0.0
20230824:0330,742.02,929.69,57.21,19.9,5.03,0.0
20230824:0430,723.5,913.07,64.14,21.2,4.97,0.0
20230824:0530,749.11,952.82,64.89,21.96,5.03,0.0
20230824:0630,665.23,836.57,59.0,22.47,5.31,0.0
